POISONING AS,POISONED AS,IMPACTED AS,VISIBILITY CHANGE,NEW DISCOVERED CONNECTION COUNT,NEW P2P CONNECTIONS DISCOVERED,NEW P2C CONNECTIONS DISCOVERED,NEW IXP CONNECTIONS DISCOVERED
14,13,45,0.6700000000000017,5,2,2,1
14,13,46,0.0,5,1,3,1
14,13,47,-0.33999999999999986,6,1,4,1
14,13,48,1.3499999999999979,16,2,5,9
14,13,49,0.6699999999999982,9,0,9,0
14,13,50,-1.6899999999999977,5,2,2,1
14,2,1,3.030000000000001,10,1,5,4
14,2,2,0.33999999999999986,3,0,3,0
14,2,3,2.6900000000000013,9,1,4,4
14,2,4,6.059999999999999,21,4,0,17
14,2,5,1.6799999999999997,9,2,6,1
14,2,6,4.710000000000001,17,4,5,8
14,2,7,2.700000000000003,19,2,5,12
14,2,8,1.6900000000000013,7,1,2,4
14,2,9,0.33999999999999986,9,1,4,4
14,2,10,0.6799999999999997,5,1,3,1
14,2,11,5.049999999999997,18,2,6,10
14,2,12,4.709999999999997,22,2,5,15
14,2,13,4.040000000000003,19,2,7,10
14,2,14,-4.039999999999999,3,0,3,0
14,2,15,1.3500000000000014,9,0,9,0
14,2,16,0.6799999999999997,6,0,6,0
14,2,17,0.33999999999999986,7,2,4,1
14,2,18,0.0,9,1,5,3
14,2,19,1.6799999999999997,18,2,8,8
14,2,20,-0.33999999999999986,6,1,4,1
14,2,21,2.0199999999999996,16,2,6,8
14,2,22,-1.009999999999998,5,0,5,0
14,2,23,-0.33999999999999986,14,2,5,7
14,2,24,2.0199999999999996,22,2,11,9
14,2,25,0.33999999999999986,8,1,6,1
14,2,26,-0.33999999999999986,5,0,5,0
14,2,27,0.3299999999999983,8,2,6,0
14,2,28,-3.370000000000001,9,0,3,6
14,2,29,-2.360000000000003,10,0,4,6
14,2,30,1.6899999999999977,20,2,9,9
14,2,31,1.0100000000000016,9,0,8,1
14,2,32,1.009999999999998,8,1,6,1
14,2,33,1.009999999999998,8,0,8,0
14,2,34,0.6699999999999982,7,1,6,0
14,2,35,2.6900000000000013,12,2,3,7
14,2,36,0.33999999999999986,11,1,6,4
14,2,37,5.720000000000002,20,2,10,8
14,2,38,0.6700000000000017,8,2,5,1
14,2,39,0.0,8,0,8,0
14,2,40,1.009999999999998,8,0,8,0
14,2,41,0.6699999999999982,7,0,7,0
14,2,42,-1.009999999999998,4,1,3,0
14,2,43,1.3499999999999979,10,2,7,1
14,2,44,2.3599999999999994,9,1,5,3
14,2,45,0.33000000000000185,8,2,5,1
14,2,46,0.3299999999999983,7,1,5,1
14,2,47,-0.6799999999999997,7,1,5,1
14,2,48,1.6899999999999977,20,2,9,9
14,2,49,0.33999999999999986,12,0,12,0
14,2,50,0.33000000000000185,8,2,5,1
14,3,1,4.370000000000001,15,3,4,8
14,3,2,5.050000000000001,18,4,3,11
14,3,3,0.33000000000000185,5,0,5,0
14,3,4,6.73,22,4,0,18
14,3,5,2.3599999999999994,13,3,6,4
14,3,6,6.400000000000002,23,5,5,13
14,3,7,4.040000000000003,21,2,6,13
14,3,8,3.3699999999999974,13,2,3,8
14,3,9,1.3500000000000014,10,1,5,4
14,3,10,1.6899999999999977,9,2,3,4
14,3,11,5.379999999999999,18,2,6,10
14,3,12,4.039999999999999,22,2,5,15
14,3,13,4.040000000000003,18,2,6,10
14,3,14,-3.370000000000001,2,0,2,0
14,3,15,1.0100000000000016,6,0,6,0
14,3,16,0.33999999999999986,4,0,4,0
14,3,17,0.33999999999999986,9,2,6,1
14,3,18,-0.3299999999999983,6,1,2,3
14,3,19,1.0100000000000016,16,3,5,8
14,3,20,-2.0199999999999996,6,1,4,1
14,3,21,4.039999999999999,18,2,7,9
14,3,22,0.33000000000000185,5,0,5,0
14,3,23,0.0,14,2,4,8
14,3,24,2.3599999999999994,18,3,6,9
14,3,25,0.33999999999999986,8,1,6,1
14,3,26,0.33000000000000185,5,0,5,0
14,3,27,0.3299999999999983,5,2,3,0
14,3,28,-2.6999999999999993,7,0,1,6
14,3,29,-1.6799999999999997,8,0,2,6
14,3,30,2.0199999999999996,18,3,6,9
14,3,31,1.0100000000000016,8,0,7,1
14,3,32,0.6699999999999982,7,2,4,1
14,3,33,1.3499999999999979,7,0,7,0
14,3,34,0.6699999999999982,6,2,4,0
14,3,35,3.370000000000001,13,2,3,8
14,3,36,0.33999999999999986,10,1,5,4
14,3,37,6.400000000000002,20,2,10,8
14,3,38,0.6700000000000017,9,2,6,1
14,3,39,0.33999999999999986,6,0,6,0
14,3,40,0.6699999999999982,5,0,5,0
14,3,41,1.009999999999998,6,0,6,0
14,3,42,-0.6699999999999982,4,1,3,0
14,3,43,1.009999999999998,8,2,5,1
14,3,44,0.33999999999999986,7,1,3,3
14,3,45,1.0100000000000016,10,2,7,1
14,3,46,0.3299999999999983,7,1,5,1
